;Date;Country;State;City;AvgTemperature;Month
0;2012-01-01;US;Alabama;Birmingham;59.1;1
1;2012-02-01;US;Alabama;Birmingham;43.0;2
2;2012-03-01;US;Alabama;Birmingham;30.9;3
3;2012-04-01;US;Alabama;Birmingham;34.7;4
4;2012-05-01;US;Alabama;Birmingham;44.1;5
5;2012-06-01;US;Alabama;Birmingham;46.3;6
6;2012-07-01;US;Alabama;Birmingham;60.6;7
7;2012-08-01;US;Alabama;Birmingham;57.4;8
8;2012-09-01;US;Alabama;Birmingham;59.8;9
9;2012-10-01;US;Alabama;Birmingham;59.4;10
10;2012-11-01;US;Alabama;Birmingham;56.4;11
11;2012-12-01;US;Alabama;Birmingham;46.8;12
12;2012-01-13;US;Alabama;Birmingham;31.6;1
13;2012-01-14;US;Alabama;Birmingham;37.7;1
14;2012-01-15;US;Alabama;Birmingham;44.0;1
15;2012-01-16;US;Alabama;Birmingham;51.0;1
16;2012-01-17;US;Alabama;Birmingham;59.3;1
17;2012-01-18;US;Alabama;Birmingham;50.1;1
18;2012-01-19;US;Alabama;Birmingham;40.8;1
19;2012-01-20;US;Alabama;Birmingham;57.9;1
20;2012-01-21;US;Alabama;Birmingham;64.2;1
21;2012-01-22;US;Alabama;Birmingham;54.1;1
22;2012-01-23;US;Alabama;Birmingham;66.2;1
23;2012-01-24;US;Alabama;Birmingham;52.6;1
24;2012-01-25;US;Alabama;Birmingham;57.6;1
25;2012-01-26;US;Alabama;Birmingham;63.8;1
26;2012-01-27;US;Alabama;Birmingham;51.7;1
27;2012-01-28;US;Alabama;Birmingham;46.0;1
28;2012-01-29;US;Alabama;Birmingham;40.5;1
29;2012-01-30;US;Alabama;Birmingham;44.7;1
30;2012-01-31;US;Alabama;Birmingham;52.8;1
31;2012-01-02;US;Alabama;Birmingham;58.5;1
32;2012-02-02;US;Alabama;Birmingham;59.7;2
33;2012-03-02;US;Alabama;Birmingham;55.9;3
34;2012-04-02;US;Alabama;Birmingham;60.7;4
35;2012-05-02;US;Alabama;Birmingham;57.9;5
36;2012-06-02;US;Alabama;Birmingham;49.5;6
37;2012-07-02;US;Alabama;Birmingham;47.9;7
38;2012-08-02;US;Alabama;Birmingham;49.8;8
39;2012-09-02;US;Alabama;Birmingham;41.4;9
40;2012-10-02;US;Alabama;Birmingham;43.4;10
41;2012-11-02;US;Alabama;Birmingham;38.4;11
42;2012-12-02;US;Alabama;Birmingham;29.5;12
43;2012-02-13;US;Alabama;Birmingham;34.8;2
44;2012-02-14;US;Alabama;Birmingham;43.5;2
45;2012-02-15;US;Alabama;Birmingham;47.4;2
46;2012-02-16;US;Alabama;Birmingham;58.3;2
47;2012-02-17;US;Alabama;Birmingham;53.9;2
48;2012-02-18;US;Alabama;Birmingham;54.0;2
49;2012-02-19;US;Alabama;Birmingham;48.9;2
50;2012-02-20;US;Alabama;Birmingham;42.9;2
51;2012-02-21;US;Alabama;Birmingham;56.0;2
52;2012-02-22;US;Alabama;Birmingham;58.7;2
53;2012-02-23;US;Alabama;Birmingham;68.2;2
54;2012-02-24;US;Alabama;Birmingham;64.0;2
55;2012-02-25;US;Alabama;Birmingham;45.2;2
56;2012-02-26;US;Alabama;Birmingham;50.7;2
57;2012-02-27;US;Alabama;Birmingham;58.1;2
58;2012-02-28;US;Alabama;Birmingham;58.9;2
59;2012-02-29;US;Alabama;Birmingham;65.1;2
